LISTE DES ETABLISSEMENTS PRIVES D'ENSEIGNEMENT SUPERIEUR (EPES) BENEFICIANT D'UN AGREMENT
===========================================================================================

N° | Établissement | Contacts | Adresse
1 | African Business School (ABS) | Non fourni | Sicap liberté 2 derrière Rond-point jet d'eau
2 | Académie Internationale des Hautes Etudes de la Sécurité (AIHES) | Tél. 33 820 15 73 / 33 820 15 79, Email: aihesjud@gmail.com, serigneahmadou@hotmail.com | Nord Foire n° 92-93 Dakar BP 42500 Dakar-Fann
3 | African Institute for mathematical sciences (AIMS) | Email: info@aims-senegal.org, mouhamed.m.fall@aims-senegal.org, Tél. 780175083, 33 957 93 12 | Mbour-Km2, Route de Joal, Centre IRD
4 | African Millennium Development Institute (AMDI) | Email: administration@amdiafrique.com, Tél. 33 825 72 32 | Liberte 6, Extension sur la VDN
5 | Ecole Supérieure du Bâtiment (BATISUP) | Email: batisup@gmail.com, contact@batisup.com, Tél. 338240218 | Avenue Bourguiba, angle Amitié 3, Rue 9, face station Oilybia, BP: 16577 Dakar-Fann
6 | BEM School of Technology (BEM TECH) | Email: contact@bemtech.sn, Tél. 33 869 82 81 | Sacré coeur 3 Pyrotechnie Dakar
7 | Bill Jobs Institute (BJI) | Email: dgdo370@gmail.com, Tél. 33820 24 10 | Immeuble Bill Jobs n°270 Aelmas, Ouest Foire, VDN
8 | Braxton School of Management/ Privé (BRAXTON) | Email: contact@bsm-dakar.com, t_babacar@hotmail.com | Karack Extension a cote de Mamadou et Bineta, Dakar, Sénégal
9 | Centre Africain pour l'Environnement et le Développement Durable (CEDDA) | Email: ousnamedrame.cedda@gmail.com, institutcedda@gmail.com, Tél. 33 864 72 33 | Liberté 6, Extension Villa N° 6761, Dakar
10 | Centre de Formation Africain du Sénégal (CEFAS) | Email: cefassenegal@gmail.com, Tél. 338335444 | Cité Keur Damel en face Yengoulen, Dakar
11 | Centre d'Informatique et de Gestion Appliquée (CIGA) | Email: gueyemameasta@gmail.com, infociga@gmail.com, Tél. 338778361 | Guédiawaye, en face Stade Amadou BARRY
12 | Institut du Centre africain d'Intelligence Stratégique (CIS PAIX) | Email: infocisp@cispaix.com | Villa n°256, Ouest Foire, Dakar
13 | Collège d'Architecture: Centre Universitaire de Formation et de Recherche sur l'Architecture et l'Urbanisme (CUAD) | Email: imhotepnaby@gmail.com, Tél. 338254846 | Boulevard du Sud Point E Dakar
14 | Institut KAWSARA ex Collège Universitaire Islamique Aboul Abass Cheikh Ahmed Tijane (CUIM) | Email: univisdakar@gmail.com, Tél. 338273685 | 1, kawsara Sud Foire BP:6489, Dakar
15 | Dakar American University of Science and Technology (DAUST) | Email: info@daust.org, ika@daust.org, administrator@daust.org | Quartier Tefess, Route de Ngaparou-Somone
16 | DAKAR BUSINESS SCHOOL (Ex-ICF) (DBS) | Email: thematiquepro@gmail.com | Yoff Ouest-Foire lot 52 - VDN, En face CFPT Dakar - Sénégal, BP: 17163 DAKAR
17 | Dakar e-Business School (De-BS) | Email: falazie@gmail.com | Sacré Coeur 3 VDN Villa N° 9472 Rue SC 94 Dakar-Fann
18 | Dakar School of Economics (DES/IRES-CED) | Email: ires@ires-senegal.com | EXPRESSO sur la VDN (9505 Sacré Coeur 3)
19 | Dakar Institute of Technology (DIT) | Email: nicolas@dit.sn | Sicap Sacré coeur, Keur Gorgui, Villa n°2, Dakar
20 | Ecole Centrale des Logiciels Libres et de Télécommunications (EC2LT) | Tél. 33 824 10 60 / 33 868 18 85 (Annexe), Email: ecole.ec2lt@gmail.com, marieouya@gmail.com | Villa 1549, Liberté-2 / Bâtiment Principal Villa 5463, Liberté-5 près du terminus Dakar Dem Dikk/ Annexe
21 | Ecole centrale polytechnique d'Ingénieurs (ECPI) | Email: contact@ecpi-edu.com, mouhamadou.sall@ecpi-edu.com, infos@ecpi-edu.com, abibou.gaye@ecpi-edu.com, Tél. 33 822 88 60 | Sacré Cœur 1, Lot n°5, Dakar BP: 45 089, Dakar, Fann
22 | Institut EDGE | Tél. 33 865 36 82 | Almadies, Immeuble Gelato, Route de NGOR, Dakar.
23 | Ecole Dentaire Internationale (EDI) | Email: secretariat@edi-senegal.org, a.diouf@edi-senegal.org | VDN Lot 79 Immeuble EDI
24 | Edition Communication (EDICOM) | Tél. 338218080 / 338366663, Email: edicomformation@yahoo.fr | B/ Maurice Guèye Rufisque
25 | Ecole des Hautes Etudes en Information et Communication (EHEIC) | Tél. 33 827 99 11, Email: groupeheic20@gmail.com, diplocom@gmail.com | sacre coeur 3 pyrotechnie 10620 dakar
26 | Ecoles des Hautes Etudes en Sciences (EHES) | Tél. 33 820 81 81, Email: ehesdakar@gmail.com | Ngor virage, route de l'ancien aéroport Léopold Sédar Senghor
27 | Ecole Supérieure de Journalisme, des Métiers de l'Internet et de la Communication (EJICOM) | Tél. +221 33 824 17 20, Email: contact@ejicom.com, tidiane@ejicom.com | Lot 72 AD Cité Keur Gorgui
28 | Elite Santé / Privé | Email: elitesantekm@gmail.com, Tél. 338379518 | Cité Ainoumady AC 12 Keur Massar
29 | Ecole de Management de Dakar (EMD) Ex SHERBROOKE (EMD) | Tél. 338980441, Email: sitourndour@gmail.com, info@emdsn.com | Ouakam Cité Avion Batrain
30 | EMIA (ex IUED) | Email: saliou.mbaye@emia-sn.com, aliousal@gmail.com, Tél. 338271887 | Lot D Scat Urbam Grand Yoff
31 | Ecole Supérieure Africaine d'Etudes Islamiques (ESAEI) | Email: baywayal@yahoo.fr, Tél. 338532345 | villa n 05, Cite Lobatt Fall; ex Roseraie, en face Arrêt Niaye de Pikine
32 | École Supérieure d'Administration et de Gestion (ESAG) | Non fourni | s/c Collège Papa Mar DIOP 8 rue Abdoulaye Seck Marie Parsine (Nord) Saint Louis
33 | Ecole Supérieure Africaine de Management (ESAM) | Email: esamsenegal@gmail.com, info@esam.en, Tél. 338641212 | Rocade Fann Bel Air, près ANSD, BP:5982 Dakar Fann
34 | Ecole Supérieure de Communication et Management (ESCOM) | Email: pmndao@escomsn.com, Tél. 338605601 | n°10057 sacré-cœur 3 VDN, BP:45206 Dakar-Fann
35 | Ecole Supérieure de Finances (ESF) | Email: supdefinances@gmail.com, amadouseck@hotmail.com, Tél. 33 8763785 | 347, bis Gibraltar II, Dakar
